date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2019-12-03,0,9,6,50,26,65,24,0,0,28
2019-12-04,0,12,7,57,20,68,16,0,0,30
2019-12-05,0,8,5,51,19,70,17,0,0,25
2019-12-06,0,8,5,47,21,75,15,0,0,23
2019-12-07,0,9,8,55,21,86,0,0,0,42
2019-12-08,0,12,5,58,27,93,0,0,0,37
2019-12-09,0,9,5,48,25,72,17,0,0,21
2019-12-10,0,10,7,57,27,58,19,0,0,26
2019-12-11,0,8,7,59,25,64,15,0,0,25
2019-12-12,0,11,5,63,25,76,0,0,0,28
2019-12-13,0,10,6,55,20,69,14,0,0,34
2019-12-14,0,10,5,59,26,91,17,0,0,35
2019-12-15,0,9,5,59,26,93,0,0,0,39
2019-12-16,0,12,9,71,25,89,20,0,0,42
2019-12-17,0,11,6,57,30,88,18,0,0,38
2019-12-18,0,12,9,61,25,68,24,0,0,35
2019-12-19,0,13,8,63,23,99,16,0,0,34
2019-12-20,0,10,5,50,29,74,0,0,0,40
2019-12-21,0,11,4,52,29,87,17,0,0,42
2019-12-22,0,7,4,53,24,90,0,0,15,32
2019-12-23,0,7,4,51,28,83,20,0,0,30
2019-12-24,0,4,4,38,19,61,0,0,0,26
2019-12-25,0,0,0,32,15,39,0,0,0,24
2019-12-26,0,5,4,44,22,67,0,0,0,47
2019-12-27,0,8,6,48,29,57,16,0,0,35
2019-12-28,0,10,7,56,27,89,0,0,0,50
2019-12-29,0,7,6,50,26,71,0,0,0,47
2019-12-30,0,8,8,56,24,86,20,0,0,37
2019-12-31,0,5,0,40,16,51,0,0,19,30
2020-01-01,0,7,6,43,18,45,0,0,0,43
2020-01-02,0,10,10,60,23,53,17,0,0,27
2020-01-03,0,12,8,50,25,53,0,0,0,37
2020-01-04,0,10,7,60,24,57,0,0,0,38
2020-01-05,0,8,9,52,25,51,0,0,0,40
2020-01-06,0,10,5,56,23,56,12,0,0,28
2020-01-07,0,11,5,58,21,49,12,0,0,25
2020-01-08,0,10,5,49,24,52,0,0,0,20
2020-01-09,0,5,9,57,23,62,0,0,0,39
2020-01-10,0,10,5,57,20,46,9,0,0,32
2020-01-11,0,13,8,59,25,73,0,0,0,40
2020-01-12,0,11,7,62,24,58,0,0,0,38
2020-01-13,0,11,3,56,21,46,14,0,0,33
2020-01-14,0,9,6,58,24,45,15,0,0,23
2020-01-15,0,8,4,49,22,51,13,0,0,24
2020-01-16,0,8,6,54,23,51,13,0,0,31
2020-01-17,0,8,7,55,22,48,0,0,0,24
2020-01-18,0,10,7,63,23,52,0,0,0,32
2020-01-19,0,13,9,55,22,48,0,0,0,30
2020-01-20,0,12,8,53,17,41,13,0,0,24
2020-01-21,0,12,9,58,21,50,9,0,0,31
2020-01-22,0,9,6,55,19,41,11,0,0,32
2020-01-23,0,7,5,60,18,41,10,0,0,30
2020-01-24,0,10,6,52,18,50,0,0,0,26
2020-01-25,0,9,7,59,24,49,0,0,0,39
2020-01-26,0,15,9,59,21,61,15,0,0,35
2020-01-27,0,10,5,51,18,46,11,0,0,28
2020-01-28,0,9,5,57,18,43,0,0,0,31
2020-01-29,0,9,6,48,13,39,8,0,0,22
2020-01-30,0,9,6,60,18,40,14,0,0,32
2020-01-31,0,9,9,51,17,32,17,0,0,28
2020-02-01,0,9,8,56,23,57,0,0,0,38
2020-02-02,0,10,9,54,24,60,0,0,0,47
2020-02-03,0,9,4,53,23,51,13,0,0,26
2020-02-04,0,6,4,51,23,50,8,0,0,25
2020-02-05,0,10,4,51,19,35,13,0,0,24
2020-02-06,0,11,4,48,18,47,9,0,0,22
2020-02-07,0,7,7,46,19,44,10,0,13,21
2020-02-08,0,11,5,55,18,55,0,0,0,29
2020-02-09,0,11,6,57,21,47,0,0,0,47
2020-02-10,0,7,6,51,19,40,10,0,0,25
2020-02-11,0,7,4,45,21,34,11,0,0,25
2020-02-12,0,7,5,50,17,41,17,0,0,39
2020-02-13,0,8,4,40,19,44,15,0,0,12
2020-02-14,0,5,5,48,14,38,0,0,0,25
2020-02-15,0,7,8,59,23,65,0,0,0,38
2020-02-16,0,11,6,48,22,43,0,0,0,39
2020-02-17,0,9,0,57,20,48,11,0,0,32
2020-02-18,0,8,5,56,15,45,8,0,0,28
2020-02-19,0,10,4,62,16,43,12,0,0,31
2020-02-20,0,9,6,53,17,45,0,0,0,27
2020-02-21,0,8,4,51,17,46,12,0,0,33
2020-02-22,0,9,9,57,22,54,10,0,0,35
2020-02-23,0,11,8,49,16,45,0,12,0,39
2020-02-24,0,11,6,55,22,49,14,0,0,31
2020-02-25,0,9,8,57,19,52,8,0,0,33
2020-02-26,0,10,6,48,19,42,12,0,0,35
2020-02-27,0,8,5,50,15,44,9,0,0,28
2020-02-28,0,9,6,53,15,39,9,0,0,31
2020-02-29,0,13,7,58,19,49,0,0,0,27
2020-03-01,0,12,8,56,16,48,0,0,0,37
2020-03-02,0,10,7,55,15,40,0,0,0,35
2020-03-03,0,7,5,52,16,44,0,0,0,30
2020-03-04,0,8,3,44,14,60,9,0,0,23
2020-03-05,0,11,5,49,17,35,11,0,0,26
2020-03-06,0,7,6,44,18,40,9,0,0,30
2020-03-07,0,10,9,55,17,57,0,0,0,34
2020-03-08,0,11,7,48,20,48,0,0,0,33
2020-03-09,0,8,6,52,18,51,14,0,0,21
2020-03-10,0,9,4,48,16,43,13,0,0,25
2020-03-11,0,8,4,47,15,39,13,0,0,26
2020-03-12,0,7,4,44,18,39,9,0,0,27
2020-03-13,0,8,5,46,15,45,0,0,0,23
2020-03-14,0,7,6,58,21,52,0,0,11,28
2020-03-15,0,9,7,49,22,42,0,0,0,35
2020-03-16,0,3,4,42,18,31,0,0,0,17
2020-03-17,0,10,5,46,15,36,12,0,0,16
2020-03-18,0,7,5,49,16,46,13,0,0,30
2020-03-19,0,9,8,52,17,37,12,0,10,22
2020-03-20,0,6,6,52,16,37,9,0,0,24
2020-03-21,0,8,11,62,18,54,17,0,0,39
2020-03-22,0,10,6,57,17,39,0,0,0,34
2020-03-23,0,6,8,43,19,39,11,0,8,27
2020-03-24,0,9,5,45,17,58,11,0,0,27
2020-03-25,0,5,5,47,16,54,21,0,0,31
2020-03-26,0,4,0,36,9,35,11,0,0,30
2020-03-27,0,3,0,27,6,17,0,0,0,26
2020-03-28,0,5,5,31,8,13,0,0,0,39
2020-03-29,0,4,0,34,7,20,0,0,0,31
2020-03-30,0,4,0,32,7,18,0,0,0,29
2020-03-31,0,4,5,32,5,16,0,0,0,34
2020-04-01,0,5,5,34,6,19,0,0,0,24
2020-04-02,0,7,5,35,12,26,0,0,0,28
2020-04-03,0,5,3,39,8,19,0,0,0,22
2020-04-04,0,6,4,46,12,35,0,0,0,39
2020-04-05,0,6,6,36,11,27,0,0,0,35
2020-04-06,0,6,4,39,12,13,0,0,0,41
2020-04-07,0,6,0,38,10,25,0,0,0,32
2020-04-08,0,4,5,38,9,21,0,0,10,26
2020-04-09,0,5,0,35,10,27,0,0,0,28
2020-04-10,0,8,4,37,9,22,0,0,0,37
2020-04-11,0,6,5,45,11,32,0,0,0,44
2020-04-12,0,7,5,45,15,22,0,0,0,44
2020-04-13,0,9,7,52,12,37,0,0,0,35
2020-04-14,0,7,4,38,11,20,0,0,0,34
2020-04-15,0,6,4,33,11,29,0,0,0,39
2020-04-16,0,4,6,41,11,26,0,0,0,32
2020-04-17,0,4,0,38,11,38,0,0,0,38
2020-04-18,0,6,6,44,10,42,0,0,0,38
2020-04-19,0,8,6,43,12,36,0,0,0,48
2020-04-20,0,7,5,40,13,38,0,0,0,38
2020-04-21,0,3,3,37,11,34,0,0,0,36
2020-04-22,0,9,4,39,11,33,0,0,0,33
2020-04-23,0,5,3,44,14,27,0,0,0,37
2020-04-24,0,6,5,45,13,26,0,0,0,32
2020-04-25,0,0,4,54,20,41,0,0,0,49
2020-04-26,0,10,8,56,18,33,0,0,0,45
2020-04-27,0,11,8,49,17,35,0,0,0,50
2020-04-28,0,8,4,51,17,41,12,0,0,32
2020-04-29,0,6,5,43,15,35,10,0,0,24
2020-04-30,0,7,5,54,20,48,0,0,0,36
2020-05-01,0,12,8,70,29,87,0,0,0,40
2020-05-02,0,13,8,76,27,95,16,0,0,44
2020-05-03,0,11,8,64,27,62,0,0,0,49
2020-05-04,0,9,6,61,21,53,13,0,0,28
2020-05-05,0,9,6,62,19,65,12,0,0,51
2020-05-06,0,10,6,51,23,60,10,0,0,37
2020-05-07,0,7,5,54,19,58,0,0,0,40
2020-05-08,0,7,6,53,22,53,11,0,9,35
2020-05-09,0,10,8,59,25,82,11,0,0,55
2020-05-10,0,12,9,58,20,70,0,0,0,49
2020-05-11,0,8,6,62,26,58,14,0,0,34
2020-05-12,0,13,8,62,25,62,13,0,0,35
2020-05-13,0,13,7,60,22,70,15,0,14,48
2020-05-14,0,12,11,70,26,71,11,0,15,37
2020-05-15,0,15,11,75,28,69,14,0,0,43
2020-05-16,0,16,12,84,33,91,10,0,0,54
2020-05-17,0,19,12,81,27,95,0,0,0,51
2020-05-18,0,19,11,82,28,68,10,0,8,44
2020-05-19,0,16,10,83,27,77,10,0,10,52
2020-05-20,0,14,10,81,23,64,9,0,8,47
