date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2020-03-06,0,7,27,33,0,0,0,68,0,0
2020-03-07,0,0,32,23,0,0,0,89,0,0
2020-03-08,0,0,32,35,0,0,0,60,0,0
2020-03-09,0,0,26,15,0,0,0,74,0,0
2020-03-10,0,0,27,22,0,0,0,68,0,0
2020-03-11,0,0,23,64,0,0,0,83,0,0
2020-03-12,0,0,26,27,0,0,0,82,0,0
2020-03-13,8,0,30,39,0,0,0,98,0,0
2020-03-14,0,0,26,29,0,0,0,72,0,0
2020-03-15,0,0,28,22,0,0,0,56,0,0
2020-03-16,0,0,33,18,0,0,0,56,0,0
2020-03-17,0,0,31,21,0,0,0,74,0,0
2020-03-18,0,0,27,50,0,0,0,54,0,0
2020-03-19,0,7,23,28,0,0,0,64,0,0
2020-03-20,0,0,35,37,0,0,0,77,0,0
2020-03-21,0,0,32,29,0,0,0,70,0,0
2020-03-22,0,0,23,16,0,0,0,42,0,0
2020-03-23,0,0,33,19,0,0,0,56,0,0
2020-03-24,0,10,57,27,0,0,0,61,0,0
2020-03-25,0,11,81,79,0,21,0,62,0,0
2020-03-26,0,0,62,79,0,0,0,74,0,0
2020-03-27,0,0,45,7,0,0,0,54,0,0
2020-03-28,0,0,46,0,0,0,0,53,0,0
2020-03-29,0,0,46,0,0,0,0,21,0,0
2020-03-30,0,0,36,0,0,0,0,21,0,0
2020-03-31,0,0,42,0,0,0,0,40,0,0
2020-04-01,0,0,30,0,0,0,0,32,0,0
2020-04-02,0,0,40,0,0,0,0,25,0,0
2020-04-03,0,0,37,0,0,0,0,40,0,0
2020-04-04,0,0,25,0,0,0,0,34,0,0
2020-04-05,0,0,46,0,0,0,0,30,0,0
2020-04-06,0,0,40,0,0,0,0,27,0,0
2020-04-07,0,0,38,0,0,0,0,27,0,0
2020-04-08,0,0,38,0,0,0,0,27,0,0
2020-04-09,0,0,32,0,0,0,0,34,0,0
2020-04-10,0,0,53,0,0,0,0,25,0,0
2020-04-11,0,0,46,0,0,0,0,35,0,0
2020-04-12,0,0,31,0,0,0,0,0,0,0
2020-04-13,0,0,42,0,0,0,0,36,0,0
2020-04-14,0,9,42,0,0,0,0,34,0,0
2020-04-15,0,0,41,0,0,0,0,27,0,0
2020-04-16,0,7,37,7,0,0,0,36,0,0
2020-04-17,0,10,54,0,0,0,0,25,0,0
2020-04-18,0,0,33,0,0,0,0,36,0,0
2020-04-19,0,0,32,0,0,0,0,26,0,0
2020-04-20,0,0,57,0,0,0,0,0,0,0
2020-04-21,0,0,37,0,0,0,0,35,0,0
2020-04-22,0,0,48,0,0,0,0,22,0,0
2020-04-23,0,7,45,0,0,0,0,26,0,0
2020-04-24,0,0,50,0,0,0,0,39,0,0
2020-04-25,0,0,49,0,0,0,0,36,0,0
2020-04-26,0,0,60,0,0,0,0,28,0,0
2020-04-27,0,0,49,0,0,0,0,50,0,0
2020-04-28,0,13,48,0,0,0,0,37,0,0
2020-04-29,0,0,48,0,0,0,0,44,0,0
2020-04-30,0,10,49,10,0,0,0,49,0,0
2020-05-01,0,0,50,90,0,0,0,33,0,0
2020-05-02,0,0,51,90,0,0,0,41,0,0
2020-05-03,0,0,47,39,0,0,0,27,0,0
2020-05-04,0,18,42,54,0,0,0,42,0,0
2020-05-05,0,11,43,54,0,0,0,63,0,0
2020-05-06,0,19,43,100,0,0,0,55,0,0
2020-05-07,0,18,45,49,0,0,0,59,0,0
2020-05-08,0,12,34,59,0,0,0,51,0,0
2020-05-09,0,0,34,51,0,0,0,47,0,0
2020-05-10,0,0,33,40,0,0,0,46,0,0
2020-05-11,0,12,35,29,0,0,0,34,0,0
2020-05-12,0,18,32,37,0,0,0,68,0,0
2020-05-13,0,14,36,75,0,0,0,50,0,0
2020-05-14,0,21,34,36,0,0,0,48,0,0
2020-05-15,0,19,41,65,0,0,0,48,0,0
2020-05-16,0,0,37,45,0,0,0,39,0,0
2020-05-17,0,0,33,27,0,0,0,37,0,0
