date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2020-02-05,24,77,0,0,0,0,0,0,47,68
2020-02-06,25,69,0,0,0,0,0,11,45,60
2020-02-07,18,64,0,0,0,0,0,0,28,49
2020-02-08,24,55,0,0,0,0,0,0,21,27
2020-02-09,25,68,0,0,0,0,0,0,17,30
2020-02-10,25,74,0,0,0,0,0,11,36,64
2020-02-11,25,75,0,0,0,0,0,0,36,74
2020-02-12,27,66,0,0,0,0,0,16,51,53
2020-02-13,27,61,0,0,0,0,0,0,49,50
2020-02-14,22,49,0,0,0,0,0,0,34,47
2020-02-15,14,63,0,0,0,0,0,0,17,26
2020-02-16,22,64,0,0,0,0,0,0,13,24
2020-02-17,19,76,0,0,0,0,0,0,50,83
2020-02-18,29,78,0,0,0,0,0,0,38,61
2020-02-19,28,68,0,0,0,0,0,0,47,67
2020-02-20,26,75,0,0,0,0,0,0,49,58
2020-02-21,23,69,0,0,0,0,0,0,47,61
2020-02-22,26,55,0,0,0,0,0,0,18,40
2020-02-23,21,59,0,0,0,0,0,0,24,15
2020-02-24,22,67,0,0,0,0,0,0,48,63
2020-02-25,27,73,0,0,0,0,0,0,49,58
2020-02-26,25,65,0,0,0,0,0,0,36,59
2020-02-27,26,76,0,0,0,0,0,0,32,59
2020-02-28,26,70,0,0,0,0,0,0,29,46
2020-02-29,27,58,0,0,0,0,0,0,0,30
2020-03-01,21,63,0,0,0,0,0,0,17,27
2020-03-02,21,64,0,0,0,0,0,0,35,55
2020-03-03,30,70,0,0,0,0,0,0,47,52
2020-03-04,22,70,0,0,0,0,0,0,40,55
2020-03-05,27,73,0,0,0,0,10,12,33,52
2020-03-06,26,75,0,0,0,0,16,0,42,53
2020-03-07,20,64,0,0,0,0,0,0,21,32
2020-03-08,31,74,0,0,0,0,0,0,24,0
2020-03-09,30,77,0,0,0,0,0,0,43,65
2020-03-10,22,76,0,0,0,0,0,0,48,49
2020-03-11,26,69,0,0,0,0,0,0,48,62
2020-03-12,25,68,0,0,0,0,10,0,38,50
2020-03-13,27,67,0,0,0,0,17,0,39,65
2020-03-14,25,76,0,0,0,0,13,0,20,42
2020-03-15,31,67,0,0,0,0,17,0,21,27
2020-03-16,35,77,0,5,0,0,30,0,36,81
2020-03-17,37,85,0,0,0,0,29,0,40,76
2020-03-18,35,90,0,0,0,0,18,0,37,50
2020-03-19,42,100,0,0,0,0,22,0,39,57
2020-03-20,37,93,0,0,0,0,22,0,45,61
2020-03-21,35,73,0,0,0,0,0,0,27,34
2020-03-22,32,87,0,0,0,0,18,0,18,32
2020-03-23,39,100,0,0,0,0,22,0,45,56
2020-03-24,36,96,0,0,0,0,27,0,29,49
2020-03-25,34,90,0,0,0,0,26,0,33,44
2020-03-26,29,84,0,0,0,0,15,0,30,48
2020-03-27,28,71,0,0,0,0,22,0,30,52
2020-03-28,33,66,0,0,0,0,20,0,15,29
2020-03-29,30,67,0,6,0,0,0,0,25,20
2020-03-30,27,83,0,0,0,0,0,0,28,51
2020-03-31,29,77,0,0,0,0,0,0,48,46
2020-04-01,33,81,0,0,0,0,0,0,23,37
2020-04-02,29,79,0,0,0,0,10,0,28,29
2020-04-03,25,76,0,0,0,0,0,0,26,43
2020-04-04,24,78,0,7,0,0,11,0,29,25
2020-04-05,31,61,0,11,0,0,0,0,22,19
2020-04-06,30,85,0,0,0,0,0,0,31,32
