date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2021-06-14,67,50,12,14,1,57,63,0,0
2021-06-15,67,55,12,18,1,56,59,0,0
2021-06-16,80,53,13,21,1,54,54,0,0
2021-06-17,63,59,12,15,0,65,43,0,0
2021-06-18,78,58,15,20,1,63,58,0,0
2021-06-19,86,56,15,23,1,57,70,0,0
2021-06-20,79,55,14,23,1,66,69,0,0
2021-06-21,64,50,11,17,1,68,53,0,0
2021-06-22,64,54,13,16,1,55,57,0,0
2021-06-23,62,51,12,17,1,61,66,0,0
2021-06-24,73,54,13,17,1,58,66,0,0
2021-06-25,80,58,18,21,1,79,71,0,0
2021-06-26,86,58,16,24,1,82,68,0,0
2021-06-27,81,58,13,23,1,68,68,0,0
2021-06-28,62,51,10,20,1,80,55,0,0
2021-06-29,66,51,11,19,1,64,42,0,0
2021-06-30,75,57,12,20,1,72,73,0,0
2021-07-01,83,63,11,20,1,77,78,0,0
2021-07-02,76,56,12,21,1,67,52,0,0
2021-07-03,89,56,14,28,1,97,97,0,0
2021-07-04,83,56,13,29,1,100,62,0,0
2021-07-05,43,35,7,14,1,66,33,0,0
2021-07-06,49,35,8,13,1,46,45,0,0
2021-07-07,47,36,8,13,1,61,41,0,0
2021-07-08,50,38,8,13,1,72,59,0,0
2021-07-09,60,41,9,15,1,72,53,0,0
2021-07-10,67,40,10,18,1,69,55,0,0
2021-07-11,53,41,8,16,0,47,55,0,0
2021-07-12,41,39,6,13,1,65,36,0,0
2021-07-13,41,38,6,13,1,55,48,0,0
2021-07-14,43,39,6,14,1,39,49,0,0
2021-07-15,50,41,8,14,1,51,49,0,0
2021-07-16,56,42,9,15,1,55,61,0,0
2021-07-17,60,38,10,17,1,51,67,0,0
2021-07-18,59,44,10,17,1,74,46,0,0
2021-07-19,49,36,7,13,1,58,53,0,0
2021-07-20,51,37,8,12,1,50,45,0,0
2021-07-21,54,36,7,15,1,77,38,0,0
2021-07-22,48,37,7,13,1,77,50,0,0
2021-07-23,58,39,9,15,1,61,52,0,0
2021-07-24,63,40,9,17,1,57,57,0,0
2021-07-25,58,40,9,15,1,65,44,0,0
2021-07-26,49,42,8,10,0,47,24,0,0
2021-07-27,50,35,8,10,1,47,27,0,0
2021-07-28,48,35,8,10,1,50,48,0,0
2021-07-29,57,37,8,11,1,49,33,0,0
2021-07-30,60,39,9,12,1,66,51,0,0
2021-07-31,68,40,11,14,1,55,54,0,0
2021-08-01,59,35,8,14,1,50,43,0,0
2021-08-02,45,34,7,10,1,55,25,0,0
2021-08-03,50,36,8,10,1,55,44,0,0
2021-08-04,46,38,7,10,1,59,27,0,0
2021-08-05,54,36,8,9,1,59,17,0,0
2021-08-06,70,40,9,12,1,67,41,0,0
2021-08-07,68,43,10,15,1,58,55,0,0
