date,Dog Food,Puppies for Sale,Pet shop
2021-06-25,44,49,0
2021-06-26,37,83,16
2021-06-27,36,63,23
2021-06-28,35,52,0
2021-06-29,42,46,0
2021-06-30,43,60,0
2021-07-01,35,58,0
2021-07-02,29,54,12
2021-07-03,28,71,0
2021-07-04,45,61,0
2021-07-05,40,52,0
2021-07-06,34,63,14
2021-07-07,31,52,0
2021-07-08,38,60,0
2021-07-09,43,63,0
2021-07-10,44,79,17
2021-07-11,26,92,0
2021-07-12,34,52,0
2021-07-13,35,49,0
2021-07-14,70,43,0
2021-07-15,59,61,0
2021-07-16,61,75,18
2021-07-17,35,79,0
2021-07-18,42,92,17
2021-07-19,42,72,0
2021-07-20,41,74,0
2021-07-21,39,59,0
2021-07-22,48,61,0
2021-07-23,48,74,0
2021-07-24,50,100,22
2021-07-25,32,55,0
2021-07-26,41,71,0
2021-07-27,46,56,0
2021-07-28,47,47,0
2021-07-29,39,58,0
2021-07-30,19,62,0
2021-07-31,35,64,0
2021-08-01,27,83,0
2021-08-02,39,51,0
2021-08-03,29,62,0
2021-08-04,44,66,0
2021-08-05,44,59,0
2021-08-06,32,47,0
2021-08-07,45,78,0
2021-08-08,26,74,26
2021-08-09,24,71,0
2021-08-10,44,61,0
2021-08-11,36,45,0
2021-08-12,35,71,0
2021-08-13,32,53,0
2021-08-14,33,78,0
2021-08-15,44,65,0
2021-08-16,32,52,0
2021-08-17,32,59,0
2021-08-18,41,77,0
2021-08-19,30,55,0
2021-08-20,24,63,0
2021-08-21,43,79,0
2021-08-22,37,59,20
2021-08-23,47,39,0
2021-08-24,35,62,0
2021-08-25,44,52,0
2021-08-26,47,49,22
2021-08-27,22,44,0
2021-08-28,40,58,0
2021-08-29,54,61,0
2021-08-30,45,60,0
2021-08-31,41,57,0
2021-09-01,29,38,0
2021-09-02,83,46,0
2021-09-03,44,43,0
2021-09-04,42,81,0
2021-09-05,62,59,0
2021-09-06,27,57,0
2021-09-07,33,37,0
2021-09-08,27,44,0
2021-09-09,38,41,0
2021-09-10,31,48,0
2021-09-11,31,54,0
2021-09-12,28,58,0
2021-09-13,24,40,0
2021-09-14,41,39,19
