date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2023-05-10,0,74,19,16,11,21,49,26,91,0
2023-05-11,0,69,19,15,11,22,46,17,52,0
2023-05-12,0,76,21,15,7,24,43,17,45,0
2023-05-13,0,70,20,17,7,22,46,19,87,0
2023-05-14,0,66,19,13,7,22,46,9,37,0
2023-05-15,0,71,20,18,9,23,44,15,46,0
2023-05-16,0,69,21,15,9,21,42,16,49,0
2023-05-17,0,72,20,15,10,24,43,16,48,0
2023-05-18,0,69,20,15,9,23,47,14,47,0
2023-05-19,0,76,22,18,9,20,46,13,42,0
2023-05-20,0,77,20,17,6,22,45,11,36,0
2023-05-21,0,74,20,14,7,23,43,10,36,0
2023-05-22,0,71,18,14,10,24,46,16,42,0
2023-05-23,0,73,20,17,12,22,46,18,50,0
2023-05-24,0,71,21,16,10,19,43,17,46,0
2023-05-25,0,71,21,17,8,23,46,19,47,0
2023-05-26,0,73,25,18,9,21,49,15,44,0
2023-05-27,0,77,25,16,4,23,48,11,35,0
2023-05-28,0,70,22,15,6,24,47,12,37,0
2023-05-29,0,70,23,16,10,24,49,13,45,0
2023-05-30,0,73,20,18,10,20,45,18,43,0
2023-05-31,0,82,23,15,8,23,45,17,41,0
2023-06-01,0,84,22,15,9,21,44,14,49,0
2023-06-02,0,86,22,16,9,20,46,12,43,0
2023-06-03,0,94,22,15,6,23,45,12,40,0
2023-06-04,0,82,21,14,5,23,46,12,41,0
2023-06-05,0,87,20,15,10,39,42,17,48,0
2023-06-06,0,86,19,16,9,60,44,16,44,0
2023-06-07,0,84,19,13,9,32,48,18,44,0
2023-06-08,0,82,21,14,9,25,45,16,41,0
2023-06-09,0,91,19,14,8,29,48,14,44,0
2023-06-10,0,87,18,16,6,29,47,10,40,0
2023-06-11,0,78,19,13,6,25,47,12,43,0
2023-06-12,0,85,19,15,11,23,46,15,40,0
2023-06-13,0,81,19,14,10,27,45,21,91,0
2023-06-14,0,87,19,15,10,27,44,16,48,0
2023-06-15,0,90,21,16,8,22,47,10,42,0
2023-06-16,0,91,21,18,7,27,51,20,90,0
2023-06-17,0,85,20,13,5,24,47,14,40,0
2023-06-18,0,80,19,13,6,20,44,13,38,0
2023-06-19,0,82,20,13,9,23,49,15,50,0
2023-06-20,0,85,21,15,9,25,45,17,46,0
2023-06-21,0,82,21,16,10,23,48,15,48,0
2023-06-22,0,79,22,13,11,20,44,12,43,0
2023-06-23,0,82,22,17,9,21,50,13,45,0
2023-06-24,0,85,26,19,6,25,51,12,44,0
2023-06-25,0,89,26,19,6,24,52,11,38,0
2023-06-26,0,81,24,19,10,26,51,12,47,0
2023-06-27,0,81,23,19,8,24,50,11,44,0
2023-06-28,0,80,22,20,9,22,49,12,41,0
2023-06-29,0,79,23,31,9,24,50,13,42,0
2023-06-30,0,90,24,50,8,28,48,10,41,0
2023-07-01,0,93,23,21,5,27,48,12,42,0
2023-07-02,0,83,25,19,5,26,54,9,38,0
2023-07-03,0,86,22,16,10,29,50,12,48,0
2023-07-04,0,86,22,17,9,24,52,15,44,0
2023-07-05,0,85,20,16,9,25,47,12,42,0
2023-07-06,0,94,22,16,9,25,47,13,46,0
2023-07-07,0,92,22,17,8,22,49,11,41,0
2023-07-08,2,88,21,17,5,25,43,12,37,0
2023-07-09,0,75,20,15,5,25,51,12,40,0
2023-07-10,0,76,18,17,8,23,45,13,54,0
2023-07-11,0,80,19,17,9,27,53,21,92,0
2023-07-12,0,79,18,17,8,22,46,12,50,0
2023-07-13,0,76,17,15,10,25,49,15,49,0
2023-07-14,0,81,19,17,8,25,49,11,47,0
2023-07-15,0,80,19,20,5,24,51,8,46,0
2023-07-16,0,75,18,17,6,28,53,10,42,0
2023-07-17,0,83,18,16,10,29,52,14,47,0
2023-07-18,0,84,18,14,10,23,51,14,46,0
2023-07-19,0,82,19,14,10,25,48,15,44,0
2023-07-20,0,79,17,15,8,29,43,13,47,0
2023-07-21,0,80,18,17,8,27,46,11,45,0
2023-07-22,0,84,22,23,7,30,51,20,100,0
2023-07-23,0,83,20,18,8,25,50,13,40,0
2023-07-24,0,76,20,18,10,23,49,15,50,0
2023-07-25,0,74,22,19,10,27,52,14,46,0
2023-07-26,0,71,21,17,10,23,49,14,50,0
2023-07-27,0,71,22,18,9,25,50,14,49,0
2023-07-28,0,76,20,21,8,25,45,12,41,0
2023-07-29,3,78,20,19,6,24,49,11,42,0
2023-07-30,2,71,19,19,5,23,54,11,41,0
2023-07-31,1,70,22,18,8,25,48,14,47,0
2023-08-01,3,77,21,14,10,22,45,16,48,0
