date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2019-11-28,28,6,69,0,54,68,0,0,0,5
2019-11-29,30,7,81,0,56,67,0,0,0,0
2019-11-30,22,7,57,0,45,51,0,0,0,0
2019-12-01,19,6,48,0,33,48,0,0,0,0
2019-12-02,30,9,83,0,59,88,0,0,0,5
2019-12-03,30,8,75,0,56,88,0,0,0,5
2019-12-04,24,7,71,0,49,80,0,0,0,5
2019-12-05,27,7,72,0,49,89,0,0,0,0
2019-12-06,25,8,75,0,49,66,0,0,0,5
2019-12-07,13,6,37,0,32,49,0,0,0,0
2019-12-08,11,5,31,0,23,45,0,0,0,4
2019-12-09,22,7,61,0,44,63,0,0,0,0
2019-12-10,19,6,59,0,42,60,0,0,0,0
2019-12-11,19,6,58,0,42,63,0,0,0,0
2019-12-12,22,7,64,0,47,69,0,0,0,5
2019-12-13,24,6,80,0,55,60,0,0,0,0
2019-12-14,16,7,46,0,39,53,0,0,0,5
2019-12-15,11,6,32,0,25,50,0,0,0,0
2019-12-16,13,6,39,0,31,58,0,0,0,0
2019-12-17,21,6,69,0,51,77,0,0,0,0
2019-12-18,23,5,65,0,52,82,0,0,0,0
2019-12-19,23,6,68,0,51,79,0,0,0,0
2019-12-20,61,7,81,0,58,73,0,0,0,0
2019-12-21,24,5,48,0,36,51,0,0,0,0
2019-12-22,14,3,32,0,26,40,0,0,0,0
2019-12-23,28,8,73,0,53,100,0,0,0,5
2019-12-24,27,5,60,0,46,57,0,0,0,0
2019-12-25,11,4,25,0,24,35,0,0,0,0
2019-12-26,14,4,32,0,28,38,0,0,0,0
2019-12-27,21,5,52,0,39,76,0,0,0,0
2019-12-28,16,5,42,0,37,62,0,0,0,0
2019-12-29,13,3,35,0,24,60,0,0,0,0
2019-12-30,22,6,65,0,48,95,0,0,0,0
2019-12-31,25,7,63,0,50,62,0,0,0,0
2020-01-01,14,5,38,0,26,50,0,0,0,0
2020-01-02,11,5,35,0,26,93,0,0,0,0
2020-01-03,11,4,36,0,26,100,0,0,0,0
2020-01-04,7,3,20,0,18,62,0,0,0,0
2020-01-05,7,3,18,0,14,58,0,0,0,0
2020-01-06,13,4,39,0,23,88,0,0,0,3
2020-01-07,10,3,31,0,23,84,0,0,0,4
2020-01-08,9,3,31,0,22,79,0,0,0,0
2020-01-09,10,4,30,0,24,86,0,0,0,3
