date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2020-01-07,30,25,81,68,28,25,30,0,85,0
2020-01-08,32,27,80,66,35,27,29,3,88,0
2020-01-09,34,32,88,68,36,29,34,0,96,0
2020-01-10,29,30,90,78,36,30,30,0,93,0
2020-01-11,28,34,89,83,38,30,31,0,90,0
2020-01-12,26,33,84,73,27,28,25,0,82,0
2020-01-13,31,28,93,72,33,29,31,2,87,0
2020-01-14,30,31,95,73,29,29,30,3,91,0
2020-01-15,30,32,83,76,28,28,30,0,86,0
2020-01-16,28,30,93,73,29,28,36,0,90,0
2020-01-17,28,29,85,74,28,24,35,2,81,0
2020-01-18,30,33,81,80,31,28,34,0,86,0
2020-01-19,26,36,73,80,29,28,27,0,83,0
2020-01-20,29,31,89,77,32,24,31,0,78,0
2020-01-21,32,32,85,75,32,28,34,2,89,0
2020-01-22,32,30,87,73,29,28,32,0,100,0
2020-01-23,30,34,83,77,29,28,34,0,91,0
2020-01-24,29,28,86,75,32,26,34,0,82,0
2020-01-25,27,28,79,83,31,28,28,0,87,0
2020-01-26,28,34,83,81,29,31,30,0,89,0
2020-01-27,26,26,83,68,29,22,31,0,78,0
2020-01-28,31,29,83,73,29,30,33,0,90,0
2020-01-29,27,31,85,70,30,25,31,0,86,0
2020-01-30,27,32,85,74,29,27,30,2,79,0
2020-01-31,30,24,84,69,27,24,28,0,78,0
2020-02-01,25,28,75,79,29,23,25,0,76,0
2020-02-02,23,31,73,71,27,31,25,3,82,0
2020-02-03,31,30,82,73,28,27,33,0,85,0
2020-02-04,27,25,80,73,29,25,30,0,76,0
2020-02-05,28,27,81,62,27,26,30,0,82,0
2020-02-06,29,28,83,68,29,27,36,0,79,0
2020-02-07,26,30,75,76,28,24,31,2,77,0
2020-02-08,28,27,67,71,30,30,31,2,90,0
2020-02-09,29,30,73,78,26,32,29,3,89,0
2020-02-10,32,28,77,76,29,27,32,2,87,0
2020-02-11,31,30,76,69,29,27,33,0,86,0
2020-02-12,26,27,81,72,29,27,40,3,89,0
2020-02-13,29,30,91,73,28,24,35,0,81,0
2020-02-14,30,24,71,67,25,28,33,0,82,0
2020-02-15,25,30,82,82,30,28,35,0,85,0
2020-02-16,26,33,78,80,29,26,32,0,82,0
2020-02-17,30,31,83,70,31,27,37,0,91,0
2020-02-18,30,28,77,69,30,27,34,2,87,0
2020-02-19,29,33,77,73,27,28,33,0,87,0
2020-02-20,31,31,85,68,29,28,34,0,88,0
2020-02-21,29,32,81,84,28,28,37,2,91,0
2020-02-22,26,30,78,82,34,26,34,0,84,0
2020-02-23,25,36,79,79,25,25,29,0,83,0
2020-02-24,31,28,81,64,25,26,32,0,86,0
2020-02-25,27,31,79,72,31,25,32,0,82,0
2020-02-26,25,31,78,67,26,23,31,1,73,0
