date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2020-02-06,0,37,0,0,0,0,76,10,0
2020-02-07,0,66,1,0,0,0,52,11,0
2020-02-08,0,60,1,0,0,0,77,11,0
2020-02-09,0,29,0,0,0,0,80,14,0
2020-02-10,0,26,0,1,0,0,54,9,0
2020-02-11,0,58,0,0,0,0,58,10,0
2020-02-12,0,59,0,0,0,0,71,9,0
2020-02-13,0,24,0,0,0,0,69,9,0
2020-02-14,0,58,0,0,0,0,50,10,0
2020-02-15,0,67,0,0,0,0,84,12,0
2020-02-16,0,26,0,0,0,0,86,12,0
2020-02-17,0,24,0,0,0,0,53,9,0
2020-02-18,0,51,0,0,0,0,52,10,0
2020-02-19,0,55,1,0,0,0,67,9,0
2020-02-20,0,25,0,0,0,0,71,9,0
2020-02-21,0,54,0,0,0,0,49,11,0
2020-02-22,0,60,0,0,0,0,74,12,0
2020-02-23,0,26,0,0,0,0,77,12,0
2020-02-24,0,23,0,0,0,0,51,9,0
2020-02-25,0,54,0,0,0,0,53,9,0
2020-02-26,0,60,1,1,0,0,73,9,0
2020-02-27,0,23,0,0,0,0,73,9,0
2020-02-28,0,57,0,0,0,0,51,11,0
2020-02-29,0,61,1,0,0,0,82,14,0
2020-03-01,0,28,0,0,0,0,82,11,0
2020-03-02,0,24,0,0,0,0,57,9,0
2020-03-03,0,59,0,0,0,0,62,10,0
2020-03-04,0,63,0,0,0,0,75,9,0
2020-03-05,0,26,0,0,0,0,78,9,0
2020-03-06,0,69,1,0,0,0,52,10,0
2020-03-07,0,78,1,0,0,0,81,11,0
2020-03-08,0,27,1,0,0,0,77,12,0
2020-03-09,0,25,1,0,0,0,55,8,0
2020-03-10,0,58,1,1,0,0,57,8,0
2020-03-11,0,72,1,0,0,0,72,9,0
2020-03-12,0,26,0,0,0,0,73,9,0
2020-03-13,0,66,1,0,0,0,53,9,0
2020-03-14,0,80,0,0,0,0,92,14,0
2020-03-15,0,30,1,0,0,0,85,11,0
2020-03-16,0,30,0,0,0,0,52,9,0
2020-03-17,0,59,1,0,0,0,57,10,0
2020-03-18,0,71,1,0,0,0,79,12,0
2020-03-19,0,25,1,0,0,0,76,12,0
2020-03-20,0,75,1,0,0,0,56,13,0
2020-03-21,0,83,1,0,0,0,100,17,0
2020-03-22,0,27,2,0,0,0,80,15,0
2020-03-23,0,23,2,0,0,0,56,13,0
2020-03-24,0,63,2,1,0,0,62,17,0
2020-03-25,0,62,3,0,0,0,79,19,0
2020-03-26,0,22,2,1,1,0,70,20,0
2020-03-27,0,49,2,0,0,0,46,17,0
2020-03-28,0,50,2,0,0,0,67,19,0
2020-03-29,0,23,2,0,0,0,59,19,0
2020-03-30,0,20,1,1,0,0,42,16,0
2020-03-31,0,55,1,1,0,0,52,19,0
2020-04-01,0,47,2,1,0,0,61,17,0
2020-04-02,0,21,1,0,0,0,53,16,0
2020-04-03,0,58,1,0,0,0,47,17,0
2020-04-04,0,53,1,0,0,0,77,19,0
2020-04-05,0,22,1,0,0,0,63,20,0
2020-04-06,0,20,1,1,0,0,44,16,0
2020-04-07,0,54,1,0,0,0,51,15,0
2020-04-08,0,53,1,0,0,0,66,15,0
2020-04-09,0,23,1,0,0,0,61,14,0
2020-04-10,0,56,1,0,0,0,50,19,0
2020-04-11,0,52,1,0,0,0,78,19,0
2020-04-12,0,23,2,0,0,0,66,19,0
2020-04-13,0,20,2,0,0,0,48,17,0
2020-04-14,0,57,1,1,0,0,47,16,0
2020-04-15,0,54,2,0,0,0,70,16,0
2020-04-16,0,23,1,0,0,0,57,16,0
2020-04-17,0,60,1,1,0,0,51,18,0
2020-04-18,0,60,2,0,0,0,80,19,0
2020-04-19,0,22,1,0,0,0,73,18,0
2020-04-20,0,20,1,0,0,0,44,16,0
2020-04-21,0,58,1,0,0,0,48,14,0
2020-04-22,0,56,1,0,0,0,63,16,0
2020-04-23,0,23,1,0,0,0,53,13,0
2020-04-24,0,61,1,0,0,0,51,16,0
2020-04-25,0,60,1,1,1,0,82,18,0
2020-04-26,0,24,1,0,0,0,74,19,0
2020-04-27,0,19,1,0,0,0,46,17,0
2020-04-28,0,49,2,0,0,0,49,14,0
2020-04-29,0,41,1,0,0,0,55,15,0
2020-04-30,0,22,1,1,0,0,43,16,0
2020-05-01,0,48,2,0,0,0,43,19,0
2020-05-02,0,33,2,0,1,0,59,20,0
2020-05-03,0,18,1,0,0,0,43,18,0
2020-05-04,0,12,2,1,0,0,29,15,0
2020-05-05,0,40,1,0,0,0,37,15,0
2020-05-06,0,25,2,0,0,0,46,16,0
2020-05-07,0,16,2,0,0,0,36,15,0
2020-05-08,0,42,2,1,0,0,37,15,0
2020-05-09,0,30,2,0,0,0,54,18,0
2020-05-10,0,16,1,0,0,0,41,16,0
2020-05-11,0,13,1,0,0,0,31,15,0
2020-05-12,0,34,1,0,0,0,34,14,0
2020-05-13,0,25,1,0,0,0,43,15,0
2020-05-14,0,15,1,0,0,0,35,15,0
2020-05-15,0,38,1,0,0,0,33,18,0
2020-05-16,0,29,1,0,0,0,54,19,0
2020-05-17,0,18,1,0,0,0,37,18,0
2020-05-18,0,13,1,0,0,0,30,16,0
2020-05-19,0,32,2,0,0,0,31,16,0
2020-05-20,1,25,1,0,0,0,43,14,0
2020-05-21,0,15,1,0,0,0,31,16,0
2020-05-22,0,38,2,0,0,0,32,15,0
2020-05-23,0,28,2,0,0,0,51,17,0
2020-05-24,0,17,1,0,0,0,35,15,0
2020-05-25,0,13,1,0,0,0,29,16,0
2020-05-26,0,33,1,0,0,0,30,15,0
2020-05-27,0,24,1,0,0,0,41,15,0
2020-05-28,0,16,1,0,0,0,35,15,0
2020-05-29,0,36,1,0,0,0,30,14,0
2020-05-30,0,26,2,0,0,0,48,16,0
2020-05-31,0,17,1,0,0,0,36,16,0
2020-06-01,0,13,1,0,0,0,27,13,0
2020-06-02,0,42,1,0,0,0,37,14,0
2020-06-03,0,33,1,0,0,0,47,13,0
2020-06-04,0,18,1,1,0,0,39,14,0
2020-06-05,0,47,1,0,0,0,38,15,0
2020-06-06,0,43,1,0,0,0,61,16,0
2020-06-07,0,20,2,0,0,0,51,16,0
2020-06-08,0,16,1,1,0,0,36,14,0
2020-06-09,0,43,1,0,0,0,36,13,0
2020-06-10,0,39,1,1,0,0,50,13,0
2020-06-11,1,20,1,0,0,0,45,13,0
2020-06-12,2,44,1,0,0,0,38,14,0
2020-06-13,1,45,2,1,0,0,62,17,0
2020-06-14,0,20,2,0,0,0,53,17,0
2020-06-15,0,16,1,0,0,0,37,15,0
2020-06-16,0,44,1,2,0,0,39,15,0
2020-06-17,0,35,1,2,0,0,47,12,0
2020-06-18,1,19,1,1,0,0,43,13,0
2020-06-19,0,45,1,1,0,0,39,13,0
2020-06-20,0,47,1,1,0,0,61,15,0
2020-06-21,0,22,1,0,0,0,54,15,0
2020-06-22,0,16,1,0,0,0,36,12,0
2020-06-23,0,44,0,0,0,0,39,12,0
2020-06-24,0,44,1,0,0,0,49,14,0
2020-06-25,0,20,1,1,0,0,43,13,0
2020-06-26,0,50,1,1,0,0,43,14,0
2020-06-27,0,51,1,0,0,0,63,15,0
2020-06-28,0,24,1,0,0,0,55,17,0
2020-06-29,0,19,1,0,0,0,41,13,0
2020-06-30,0,49,1,1,0,0,45,13,0
2020-07-01,0,51,1,0,0,0,60,14,0
